u,v,length,elevation_gain,elevation_loss,slope_percent,grade_abs,highway,geometry,energy_joules,energy_wh
15,2,80.102,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.99073028564453 11.076308250427246, 76.99070739746094 11.07558822631836)",18859.21488,5.2386707999999995
16,17,222.715,0.0,1.0,-0.4490043328918123,0.0044900433289181,residential,"LINESTRING (76.98947143554688 11.075438499450684, 76.9874496459961 11.075164794921875)",52437.5196,14.565977666666667
16,15,135.897,0.0,2.0,-1.4717028337638065,0.014717028337638,residential,"LINESTRING (76.99070739746094 11.07558822631836, 76.98947143554688 11.075438499450684)",31998.589679999997,8.888497133333333
17,18,57.544,1.0,0.0,1.7378006395106356,0.0173780063951063,residential,"LINESTRING (76.9874496459961 11.075164794921875, 76.98738861083984 11.075678825378418)",29245.659359999998,8.123794266666666
17,16,222.715,1.0,0.0,0.4490043328918123,0.0044900433289181,residential,"LINESTRING (76.98947143554688 11.075438499450684, 76.9874496459961 11.075164794921875)",68133.5196,18.925977666666668
17,35,354.839,0.0,4.0,-1.1272718049594324,0.0112727180495943,residential,"LINESTRING (76.99068450927734 11.074840545654297, 76.9874496459961 11.075164794921875)",83549.29416,23.208137266666668
18,6,20.829,1.0,0.0,4.800998607710404,0.048009986077104,residential,"LINESTRING (76.98738861083984 11.075678825378418, 76.98736572265625 11.075864791870117)",20601.479760000002,5.7226332666666675
18,17,57.544,0.0,1.0,-1.7378006395106356,0.0173780063951063,residential,"LINESTRING (76.9874496459961 11.075164794921875, 76.98738861083984 11.075678825378418)",13549.65936,3.7637942666666664
19,20,44.291,1.0,0.0,2.257795037366508,0.022577950373665,residential,"LINESTRING (76.98726654052734 11.07658863067627, 76.98722076416016 11.076984405517578)",26125.37304,7.257048066666666
19,6,81.212,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98736572265625 11.075864791870117, 76.98726654052734 11.07658863067627)",19120.55328,5.3112648
20,21,146.746,8.0,0.0,5.451596636364875,0.0545159663636487,residential,"LINESTRING (76.98722076416016 11.076984405517578, 76.98705291748047 11.078293800354004)",160129.87824,44.48052173333333
20,7,89.699,0.0,3.0,-3.344518890957536,0.0334451889095753,residential,"LINESTRING (76.98722076416016 11.076984405517578, 76.988037109375 11.077078819274902)",21123.23256,5.8675646
20,19,44.291,0.0,1.0,-2.257795037366508,0.022577950373665,residential,"LINESTRING (76.98726654052734 11.07658863067627, 76.98722076416016 11.076984405517578)",10429.373039999999,2.8970480666666663
21,22,219.856,0.0,2.0,-0.9096863401499165,0.0090968634014991,residential,"LINESTRING (76.98705291748047 11.078293800354004, 76.98680114746094 11.080255508422852)",51765.89664,14.379415733333333
21,30,162.726,0.0,5.0,-3.072649730221354,0.0307264973022135,residential,"LINESTRING (76.98705291748047 11.078293800354004, 76.98853302001953 11.078472137451172)",38319.70944,10.644363733333334
21,20,146.746,0.0,8.0,-5.451596636364875,0.0545159663636487,residential,"LINESTRING (76.98722076416016 11.076984405517578, 76.98705291748047 11.078293800354004)",34561.878240000005,9.600521733333334
21,36,101.592,0.0,5.0,-4.921647373808962,0.0492164737380896,residential,"LINESTRING (76.98612976074219 11.07817554473877, 76.98705291748047 11.078293800354004)",23926.32048,6.646200133333333
22,23,30.933,1.0,0.0,3.2327934568260432,0.0323279345682604,residential,"LINESTRING (76.98680114746094 11.080255508422852, 76.98677062988281 11.08053207397461)",22980.36552,6.383434866666667
22,21,219.856,2.0,0.0,0.9096863401499165,0.0090968634014991,residential,"LINESTRING (76.98705291748047 11.078293800354004, 76.98680114746094 11.080255508422852)",83157.89663999999,23.09941573333333
23,24,12.488,0.0,1.0,-8.00768737988469,0.0800768737988469,residential,"LINESTRING (76.98677062988281 11.08053207397461, 76.98688507080078 11.08053207397461)",2941.67472,0.8171318666666667
23,40,8.539,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98677062988281 11.08053207397461, 76.9867935180664 11.080605506896973)",2010.4221599999998,0.5584505999999999
23,22,30.933,0.0,1.0,-3.2327934568260432,0.0323279345682604,residential,"LINESTRING (76.98680114746094 11.080255508422852, 76.98677062988281 11.08053207397461)",7284.36552,2.023434866666667
24,25,88.249,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98688507080078 11.08053207397461, 76.9876937866211 11.080533981323242)",20777.344559999998,5.771484599999999
24,23,12.488,1.0,0.0,8.00768737988469,0.0800768737988469,residential,"LINESTRING (76.98677062988281 11.08053207397461, 76.98688507080078 11.08053207397461)",18637.67472,5.177131866666667
24,40,12.903,1.0,0.0,7.75013562737348,0.0775013562737347,residential,"LINESTRING (76.9867935180664 11.080605506896973, 76.98688507080078 11.08053207397461)",18735.38232,5.204272866666667
25,26,107.668,1.0,0.0,0.9287810677267154,0.0092878106772671,residential,"LINESTRING (76.9876937866211 11.080533981323242, 76.98867797851562 11.080602645874023)",41046.85392,11.401903866666666
25,24,88.249,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98688507080078 11.08053207397461, 76.9876937866211 11.080533981323242)",20777.344559999998,5.771484599999999
26,27,47.653,0.0,2.0,-4.197007533628523,0.0419700753362852,residential,"LINESTRING (76.98867797851562 11.080602645874023, 76.9891128540039 11.080641746520996)",11222.42232,3.1173395333333334
26,25,107.668,0.0,1.0,-0.9287810677267154,0.0092878106772671,residential,"LINESTRING (76.9876937866211 11.080533981323242, 76.98867797851562 11.080602645874023)",25350.85392,7.041903866666667
27,28,11.009,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9891128540039 11.080641746520996, 76.98921203613281 11.080659866333008)",2591.95896,0.7199886
27,26,47.653,2.0,0.0,4.197007533628523,0.0419700753362852,residential,"LINESTRING (76.98867797851562 11.080602645874023, 76.9891128540039 11.080641746520996)",42614.42232,11.837339533333333
28,29,28.76,1.0,0.0,3.477051460361613,0.0347705146036161,residential,"LINESTRING (76.98921203613281 11.080659866333008, 76.98947143554688 11.080705642700195)",22468.7544,6.241320666666667
28,27,11.009,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9891128540039 11.080641746520996, 76.98921203613281 11.080659866333008)",2591.95896,0.7199886
29,28,28.76,0.0,1.0,-3.477051460361613,0.0347705146036161,residential,"LINESTRING (76.98921203613281 11.080659866333008, 76.98947143554688 11.080705642700195)",6772.754400000001,1.8813206666666669
30,31,103.991,2.0,0.0,1.9232433575982535,0.0192324335759825,residential,"LINESTRING (76.98853302001953 11.078472137451172, 76.9894790649414 11.078584671020508)",55878.64104,15.521844733333333
30,21,162.726,5.0,0.0,3.072649730221354,0.0307264973022135,residential,"LINESTRING (76.98705291748047 11.078293800354004, 76.98853302001953 11.078472137451172)",116799.70944,32.44436373333333
30,0,56.385,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98860168457031 11.077969551086426, 76.98853302001953 11.078472137451172)",13275.284399999999,3.6875789999999995
31,32,4.184,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9894790649414 11.078584671020508, 76.98951721191406 11.078588485717773)",985.08096,0.2736336
31,30,103.991,0.0,2.0,-1.9232433575982535,0.0192324335759825,residential,"LINESTRING (76.98853302001953 11.078472137451172, 76.9894790649414 11.078584671020508)",24486.64104,6.801844733333333
32,33,5.036,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98951721191406 11.078588485717773, 76.98956298828125 11.078594207763672)",1185.6758399999999,0.3293544
32,31,4.184,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.9894790649414 11.078584671020508, 76.98951721191406 11.078588485717773)",985.08096,0.2736336
33,14,96.776,0.0,3.0,-3.099942134413491,0.0309994213441349,residential,"LINESTRING (76.98956298828125 11.078594207763672, 76.99044036865234 11.078721046447754)",22789.44144,6.330400399999999
33,32,5.036,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98951721191406 11.078588485717773, 76.98956298828125 11.078594207763672)",1185.6758399999999,0.3293544
34,8,33.241,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98870086669922 11.077157020568848, 76.98873901367188 11.076860427856445)",7826.261039999999,2.1739614
34,0,90.995,4.0,0.0,4.395845925600308,0.043958459256003,residential,"LINESTRING (76.98870086669922 11.077157020568848, 76.98860168457031 11.077969551086426)",84213.8628,23.392739666666667
34,7,72.952,0.0,2.0,-2.741528676389956,0.0274152867638995,residential,"LINESTRING (76.988037109375 11.077078819274902, 76.98870086669922 11.077157020568848)",17178.81888,4.771894133333333
35,17,354.839,4.0,0.0,1.1272718049594324,0.0112727180495943,residential,"LINESTRING (76.99068450927734 11.074840545654297, 76.9874496459961 11.075164794921875)",146333.29416,40.648137266666666
35,15,83.176,3.0000000000000004,0.0,3.6068096566317207,0.0360680965663172,residential,"LINESTRING (76.99070739746094 11.07558822631836, 76.99068450927734 11.074840545654297)",66675.45744000001,18.520960400000003
36,37,269.107,2.0,0.0,0.7431988019635312,0.0074319880196353,residential,"LINESTRING (76.98612976074219 11.07817554473877, 76.98589324951172 11.080584526062012)",94753.55208000001,26.320431133333337
36,21,101.592,5.0,0.0,4.921647373808962,0.0492164737380896,residential,"LINESTRING (76.98612976074219 11.07817554473877, 76.98705291748047 11.078293800354004)",102406.32048,28.44620013333333
36,42,161.185,0.0,2.0,-1.2408102490926574,0.0124081024909265,residential,"LINESTRING (76.98634338378906 11.076741218566895, 76.98612976074219 11.07817554473877)",37952.3964,10.542332333333333
37,38,76.346,2.0,0.0,2.619652634060724,0.0261965263406072,residential,"LINESTRING (76.98589324951172 11.080584526062012, 76.98658752441406 11.080669403076172)",49369.902239999996,13.713861733333331
37,36,269.107,0.0,2.0,-0.7431988019635312,0.0074319880196353,residential,"LINESTRING (76.98612976074219 11.07817554473877, 76.98589324951172 11.080584526062012)",63361.55208000001,17.600431133333334
38,39,15.031,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98658752441406 11.080669403076172, 76.98672485351562 11.080658912658691)",3538.89864,0.9830274
38,37,76.346,0.0,2.0,-2.619652634060724,0.0261965263406072,residential,"LINESTRING (76.98589324951172 11.080584526062012, 76.98658752441406 11.080669403076172)",17977.90224,4.9938617333333335
39,40,9.561,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98672485351562 11.080658912658691, 76.9867935180664 11.080605506896973)",2251.04184,0.6252894
39,38,15.031,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98658752441406 11.080669403076172, 76.98672485351562 11.080658912658691)",3538.89864,0.9830274
40,24,12.903,0.0,1.0,-7.75013562737348,0.0775013562737347,residential,"LINESTRING (76.9867935180664 11.080605506896973, 76.98688507080078 11.08053207397461)",3039.38232,0.8442728666666667
40,39,9.561,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98672485351562 11.080658912658691, 76.9867935180664 11.080605506896973)",2251.04184,0.6252894
40,23,8.539,0.0,-0.0,0.0,0.0,residential,"LINESTRING (76.98677062988281 11.08053207397461, 76.9867935180664 11.080605506896973)",2010.4221599999998,0.5584505999999999
41,42,86.433,2.0,0.0,2.3139310217162423,0.0231393102171624,residential,"LINESTRING (76.98641204833984 11.075966835021973, 76.98634338378906 11.076741218566895)",51744.785520000005,14.373551533333334
42,36,161.185,2.0,0.0,1.2408102490926574,0.0124081024909265,residential,"LINESTRING (76.98634338378906 11.076741218566895, 76.98612976074219 11.07817554473877)",69344.3964,19.262332333333333
42,41,86.433,0.0,2.0,-2.3139310217162423,0.0231393102171624,residential,"LINESTRING (76.98641204833984 11.075966835021973, 76.98634338378906 11.076741218566895)",20352.78552,5.653551533333333
